model,context_tokens,batch_size,factor,endpoint,value,rom_per_user_tokens_s,speed_ratio_vs_fastest_gpu,partial_tco_ratio_vs_cheapest_gpu,binding_constraint,baseline_speed_ratio
DeepSeek-V4-Flash-0731,200000,64,ROM capacity (bytes/wafer),pessimistic,128000000000.0,141.3424869826755,0.3879135145889545,0.7000668141218696,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,ROM capacity (bytes/wafer),optimistic,192000000000.0,143.8793388474796,0.3948758876437623,0.5602369951684238,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,ROM HBM bandwidth (B/s/wafer),pessimistic,4000000000000.0,141.3424869826755,0.3879135145889545,0.7000668141218696,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,ROM HBM bandwidth (B/s/wafer),optimistic,16000000000000.0,141.3424869826755,0.3879135145889545,0.7000668141218696,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,ROM HBM capacity (bytes/wafer),pessimistic,192000000000.0,141.3424869826755,0.3879135145889545,0.7000668141218696,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,ROM HBM capacity (bytes/wafer),optimistic,768000000000.0,141.3424869826755,0.3879135145889545,0.7000668141218696,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,ROM shared-KV reread amplification,pessimistic,2.0,141.3424869826755,0.3879135145889545,0.7000668141218696,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,ROM shared-KV reread amplification,optimistic,1.0,141.3424869826755,0.3879135145889545,0.7000668141218696,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,collective injection bandwidth (B/s),pessimistic,128000000000.0,141.3424869826755,0.3879135145889545,0.7000668141218696,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,collective injection bandwidth (B/s),optimistic,1024000000000.0,153.7597844627177,0.42199270485939416,0.7615741954900344,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,collective floor (s/layer),pessimistic,1e-06,140.3934472051774,0.3853088812374901,0.6953659070623193,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,collective floor (s/layer),optimistic,5e-08,141.3955877663122,0.3880592493361467,0.7003298399503659,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,pipeline efficiency,pessimistic,0.65,99.86361093461024,0.27407501540521795,0.4946124230208862,compute_C5,0.3879135145889545
