study_slice,model,scenario,architecture,window_frames,cache_mode,clip_duration_s,denoise_calls,attention_density,noc_critical_cut_fraction,cache_remote_fraction,rom_row_reuse,tensor_operations,weight_read_bytes,mutable_hbm_bytes,rom_latency_s,same_compute_hbm_latency_s,rom_storage_speedup,generated_rate_fps,real_time_factor,main_compute_service_s,main_immutable_service_s,main_mutable_service_s,main_storage_service_s,main_noc_serialization_floor_s,main_largest_modeled_term
baseline,MiniMax-H3,10.12s-accelerated_best_case,ROM-wafer-N4-class-HBM3e-conservative,,,10.125,4,0.1,0.5,0.0,whole_call,1.452219413528576e+16,161038059776,0.0,8.758780949774424,8.758780949774424,1.0,27.743586852261476,0.8650647851629061,8.715413627575593,0.0003061492501417285,0.0,0.0003061492501417285,0.04336732219883041,compute
baseline,MiniMax-H3,10.12s-accelerated_best_case,ROM-wafer-N4-class-HBM3e-central,,,10.125,4,0.1,0.5,0.0,whole_call,1.452219413528576e+16,161038059776,0.0,1.7792612400889556,1.7792612400889556,1.0,136.57353654702837,0.17572950519397093,1.7322352400889556,7.491937982858522e-05,0.0,7.491937982858522e-05,0.047026,compute
baseline,MiniMax-H3,10.12s-accelerated_best_case,ROM-wafer-N4-class-HBM3e-aggressive,,,10.125,4,0.1,0.5,0.0,whole_call,1.452219413528576e+16,161038059776,0.0,0.7945097954275279,0.7945097954275279,1.0,305.8489667446341,0.07847010325210152,0.77439311764975,3.119660365473467e-05,0.0,3.119660365473467e-05,0.02011667777777778,compute
baseline,MiniMax-H3,14.38s-base_dense,ROM-wafer-N4-class-HBM3e-conservative,,,14.375,49,1.0,0.5,0.0,whole_call,9.640630774849536e+17,1972716232256,0.0,586.0879472488504,586.0879472488504,1.0,0.5886488565742753,40.77133546078959,578.5770665976223,0.003750328314236174,0.0,0.003750328314236174,7.51088065122807,compute
baseline,MiniMax-H3,14.38s-base_dense,ROM-wafer-N4-class-HBM3e-central,,,14.375,49,1.0,0.5,0.0,whole_call,9.640630774849536e+17,1972716232256,0.0,123.13983260660268,123.13983260660268,1.0,2.8016929428690918,8.566249224807143,114.99529760660268,0.000917762402900169,0.0,0.000917762402900169,8.144535,compute
baseline,MiniMax-H3,14.38s-base_dense,ROM-wafer-N4-class-HBM3e-aggressive,,,14.375,49,1.0,0.5,0.0,whole_call,9.640630774849536e+17,1972716232256,0.0,54.89252319365989,54.89252319365989,1.0,6.285008958011383,3.8186103091241663,51.40847211032656,0.00038215839477049967,0.0,0.00038215839477049967,3.484051083333333,compute
baseline,MiniMax-H3,14.38s-accelerated_best_case,ROM-wafer-N4-class-HBM3e-conservative,,,14.375,4,0.1,0.5,0.0,whole_call,2.236378088964096e+16,161038059776,0.0,13.482811393199098,13.482811393199098,1.0,25.588135140273668,0.9379347056138503,13.421498081760502,0.0003061492501417285,0.0,0.0003061492501417285,0.06131331143859649,compute
baseline,MiniMax-H3,14.38s-accelerated_best_case,ROM-wafer-N4-class-HBM3e-central,,,14.375,4,0.1,0.5,0.0,whole_call,2.236378088964096e+16,161038059776,0.0,2.734080786144326,2.734080786144326,1.0,126.18500585219657,0.19019692425351833,2.6675947861443263,7.491937982858522e-05,0.0,7.491937982858522e-05,0.066486,compute
baseline,MiniMax-H3,14.38s-accelerated_best_case,ROM-wafer-N4-class-HBM3e-aggressive,,,14.375,4,0.1,0.5,0.0,whole_call,2.236378088964096e+16,161038059776,0.0,1.2209854070463906,1.2209854070463906,1.0,282.55865959493156,0.0849381152727924,1.1925441737130573,3.119660365473467e-05,0.0,3.119660365473467e-05,0.028441233333333333,compute
oasis_cache_placement_row_reuse,Oasis-500M-public-code,causal_kv_cache-W32,ROM-wafer-N4-class-HBM3e-central,32,causal_kv_cache,,,,0.5,0.0,whole_call,1490483714048,13679570656,3227516928.0,0.00047700854257116986,0.0010612953593588748,2.2248980146944204,2096.398514395158,0.009540170851423396,0.00015492284041748673,6.222311069563665e-06,0.00014370386375475857,0.00014370386375475857,0.00026331428571428573,noc_serialization_floor
